Thời gian,cafe_hat,cafe_xay,ly_giay,ly_nhua,sua_dac
2026-05-09 14:56:10,0,1,0,0,0
2026-05-09 14:56:23,1,0,0,0,0
2026-05-09 17:39:47,0,1,0,0,0
2026-05-09 17:40:23,0,1,0,0,0
2026-05-09 17:40:40,2,0,0,0,0
2026-05-09 17:41:04,1,0,0,0,0
2026-05-09 17:41:21,0,0,0,1,0
2026-05-09 17:41:32,0,1,0,0,0
2026-05-09 17:42:44,0,0,0,0,1
2026-05-10 06:42:37,0,1,0,0,0
2026-05-10 06:51:10,0,0,1,0,0
2026-05-10 06:59:03,0,1,1,0,0
2026-05-10 06:59:50,0,1,1,0,0
2026-05-10 07:00:28,0,0,0,1,0
2026-05-10 07:00:55,1,0,0,0,0
