epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.1216,1.89797,3.75631,2.31695,0.00689,0.88889,0.077,0.02866,1.68672,4.71909,2.50118,0.00015554,0.00015554,0.00015554
2,57.3698,1.50945,3.49011,2.00269,0.0065,0.77778,0.11241,0.03806,1.83318,4.7891,2.8172,0.000319,0.000319,0.000319
3,86.0473,1.50971,3.06836,1.96998,0.00965,0.88889,0.39557,0.15153,1.81061,4.08102,2.4602,0.000479161,0.000479161,0.000479161
4,113.574,1.4823,2.86315,1.9297,0.01604,0.88889,0.3695,0.08462,1.9873,4.19592,2.53934,0.000636022,0.000636022,0.000636022
5,140.939,1.36052,2.78528,1.81006,0.88,0.27778,0.40038,0.08293,2.40897,3.91628,3.26149,0.000789583,0.000789583,0.000789583
6,168.157,1.48006,2.58578,1.82523,0.98749,0.22222,0.39917,0.18254,1.86666,3.55844,2.39147,0.000939845,0.000939845,0.000939845
7,194.089,1.50428,2.58298,1.92981,0.86906,0.25929,0.31006,0.11911,2.33012,3.64633,3.31629,0.00104501,0.00104501,0.00104501
8,219.548,1.47459,2.61786,1.90739,0.97703,0.16667,0.24017,0.07285,2.50558,3.66468,3.59899,0.00103401,0.00103401,0.00103401
9,244.715,1.48051,2.40411,1.85801,0.22098,0.21911,0.29323,0.14049,1.82917,3.69434,2.38687,0.00102301,0.00102301,0.00102301
10,270.533,1.56269,2.40813,1.94733,0.71598,0.44444,0.32649,0.12026,2.21919,3.58467,2.67098,0.00101201,0.00101201,0.00101201
11,295.783,1.46513,2.27895,1.8567,0.32189,0.38889,0.37541,0.1691,2.00741,3.4306,2.52827,0.00100101,0.00100101,0.00100101
12,322.476,1.53458,2.33374,1.93926,0.73086,0.27778,0.37177,0.16372,2.06922,3.61324,2.84951,0.000990012,0.000990012,0.000990012
13,351.165,1.43964,2.257,1.87306,0.90849,0.16667,0.24465,0.07358,2.40034,3.6643,3.27409,0.000979013,0.000979013,0.000979013
14,377.703,1.48973,2.08677,1.83747,1,0.21606,0.31291,0.11579,2.25003,3.58695,2.82268,0.000968014,0.000968014,0.000968014
15,403.955,1.49067,2.12787,1.85848,0.26141,0.44444,0.35934,0.14802,2.35437,3.91944,2.74392,0.000957015,0.000957015,0.000957015
16,430.391,1.48466,2.05653,1.82005,0.44786,0.48902,0.38788,0.14978,1.88861,4.26015,2.43995,0.000946016,0.000946016,0.000946016
17,457.381,1.40963,2.04435,1.77787,0.57711,0.47471,0.61127,0.2241,2.04418,3.86621,2.79876,0.000935018,0.000935018,0.000935018
18,485.206,1.41507,1.92422,1.76124,0.45355,0.58284,0.50639,0.16555,2.21233,3.04973,2.8383,0.000924019,0.000924019,0.000924019
19,511.163,1.44841,1.91905,1.7848,0.44384,0.77778,0.65422,0.27285,1.96504,2.66778,2.46888,0.00091302,0.00091302,0.00091302
20,540.689,1.40798,1.92028,1.7831,0.45741,0.77778,0.65525,0.21401,2.04608,2.75498,2.565,0.000902021,0.000902021,0.000902021
21,567.04,1.3392,1.8975,1.71644,0.55383,0.61066,0.61001,0.23631,2.06257,2.66076,2.62665,0.000891022,0.000891022,0.000891022
22,592.402,1.37906,1.77189,1.70604,0.48159,0.79867,0.6955,0.24282,2.04109,2.54711,2.62555,0.000880023,0.000880023,0.000880023
23,618.596,1.24741,1.71852,1.62525,0.55383,0.77376,0.77155,0.2957,1.93831,2.48233,2.42949,0.000869024,0.000869024,0.000869024
24,653.28,1.33467,1.69108,1.74495,0.57379,0.64631,0.70117,0.26973,2.13224,2.55156,2.70535,0.000858025,0.000858025,0.000858025
25,686.449,1.30252,1.67842,1.66927,0.54274,0.77778,0.73048,0.33914,1.79796,2.36206,2.34801,0.000847026,0.000847026,0.000847026
26,720.602,1.33547,1.6526,1.69475,0.71475,0.77778,0.70679,0.32178,1.79039,2.39968,2.44841,0.000836027,0.000836027,0.000836027
27,753.033,1.27994,1.68879,1.65653,0.80805,0.66667,0.73545,0.28378,2.01034,2.55645,2.7555,0.000825029,0.000825029,0.000825029
28,785.662,1.29421,1.64687,1.64739,0.9283,0.70562,0.78368,0.34024,2.03132,2.44577,2.5624,0.00081403,0.00081403,0.00081403
29,818.609,1.24639,1.60995,1.65774,0.83464,0.6765,0.76523,0.26789,2.06466,2.52573,2.64422,0.000803031,0.000803031,0.000803031
30,851.56,1.26203,1.46354,1.69667,0.83533,0.64961,0.81594,0.27998,2.06145,2.69863,2.70044,0.000792032,0.000792032,0.000792032
31,884.172,1.19643,1.46172,1.58889,0.81099,0.49793,0.78584,0.37597,1.77889,2.43438,2.37492,0.000781033,0.000781033,0.000781033
32,940.415,1.32392,1.52934,1.60774,0.40052,0.58782,0.60815,0.299,1.66329,2.56904,2.23008,0.000770034,0.000770034,0.000770034
33,1002.24,1.16591,1.45843,1.557,0.48586,0.6911,0.62862,0.2743,1.98567,2.46387,2.66275,0.000759035,0.000759035,0.000759035
34,1065.46,1.3124,1.64446,1.69442,0.85801,0.68712,0.80663,0.34485,1.96054,2.26866,2.58563,0.000748036,0.000748036,0.000748036
35,1102.92,1.18659,1.38164,1.54034,0.92686,0.65008,0.81089,0.37757,1.84588,1.98618,2.42731,0.000737037,0.000737037,0.000737037
36,1132,1.16687,1.36277,1.54937,0.86793,0.61152,0.76845,0.39998,1.70845,2.03803,2.31236,0.000726038,0.000726038,0.000726038
37,1158.81,1.23925,1.40222,1.57344,0.98949,0.76956,0.81659,0.42309,1.63666,2.18759,2.35382,0.00071504,0.00071504,0.00071504
38,1184.31,1.18881,1.36251,1.53348,0.9322,0.74632,0.81746,0.46485,1.59156,2.18451,2.2803,0.000704041,0.000704041,0.000704041
39,1209.55,1.1803,1.3763,1.58456,0.71334,0.61111,0.69958,0.36293,1.58663,2.26209,2.17207,0.000693042,0.000693042,0.000693042
40,1235.4,1.25161,1.4277,1.6431,0.63076,0.72856,0.75422,0.30343,1.78647,2.43341,2.42559,0.000682043,0.000682043,0.000682043
41,1270.3,1.15451,1.30572,1.48928,0.98353,0.65662,0.77243,0.27524,1.97807,2.48133,2.71295,0.000671044,0.000671044,0.000671044
42,1300,1.12999,1.35307,1.53377,0.79589,0.66667,0.76703,0.33777,1.82999,2.32444,2.55721,0.000660045,0.000660045,0.000660045
43,1325.11,1.0881,1.24007,1.51342,0.56869,0.61126,0.67619,0.28285,1.7913,2.44082,2.57218,0.000649046,0.000649046,0.000649046
44,1350.32,1.05953,1.19385,1.47597,0.76987,0.64932,0.69298,0.30011,1.79165,2.26702,2.67102,0.000638047,0.000638047,0.000638047
